Id,Title,Body,Tags,CreationDate
"810005","Nginx Server Block for SSL don't work","<p>My site is available without ssl via http but not via https. With <a href=""https://www.example.com"" rel=""nofollow noreferrer"">https://www.example.com</a> occurs a network timeout. Also the nginx error.log shows no errors. Why am I not able to redirect and reach the site via https?</p>

<p>This is my nginx server block file:</p>

<pre><code>server {
    listen 80;
    listen [::]:80;
    server_name www.example.com example.com example.org www.example.org
    return 301 https://$server_name$request_uri;
}
server {
    # SSL configuration
    listen 443 ssl;
    listen [::]:443 ssl;
    ssl on;
    ssl_certificate /etc/letsencrypt/live/www.example.com/fullchain.pem;
    ssl_certificate_key /etc/letsencrypt/live/www.example.com/privkey.pem;  

    root /var/www/example;

    # Add index.php to the list if you are using PHP
    index index.php index.html index.htm index.nginx-debian.html;

    server_name example.com www.example.com;

    # pass the PHP scripts to FastCGI server
    #
    location ~ \.php$ {
        try_files $uri  =404;
        fastcgi_split_path_info ^(.+\.php)(/.+)$;
        # With php5-fpm:
        fastcgi_pass unix:/var/run/php5-fpm.sock;
        fastcgi_index index.php;
        fastcgi_param SCRIPT_FILENAME $document_root$fastcgi_script_name;
        include fastcgi_params;
    }

    # deny access to .htaccess files, if Apache's document root
    # concurs with nginx's one
    #
    location ~ /\.ht {
        deny all;
    }
}
</code></pre>

<p>Output of netstat -tulpen|grep 443</p>

<pre><code> tcp        0      0 0.0.0.0:443             0.0.0.0:*               LISTEN      0          417562386   339/nginx: worker p
    tcp6       0      0 :::443                  :::*                    LISTEN      0          417562387   339/nginx: worker p
</code></pre>

<p>Edit:
This is my nginx.conf</p>

<pre><code>user xy;
worker_processes 5;
pid /run/nginx.pid;

events {
        worker_connections 4096;
        # multi_accept on;
}

http {

        ##
        # Basic Settings
        ##

        sendfile on;
        tcp_nopush on;
        tcp_nodelay on;
        keepalive_timeout 65;
        types_hash_max_size 2048;
        # server_tokens off;

        # server_names_hash_bucket_size 64;
        # server_name_in_redirect off;

        include /etc/nginx/mime.types;
        default_type application/octet-stream;

        ##
        # SSL Settings
        ##

        ssl_protocols TLSv1 TLSv1.1 TLSv1.2; # Dropping SSLv3, ref: POODLE
        ssl_prefer_server_ciphers on;

        ##
        # Logging Settings
        ##

        access_log /var/log/nginx/access.log;
        error_log /var/log/nginx/error.log;

        ##
        # Gzip Settings
        ##

        gzip on;
        gzip_disable ""msie6"";

        # gzip_vary on;
        # gzip_proxied any;
        # gzip_comp_level 6;
        # gzip_buffers 16 8k;
        # gzip_http_version 1.1;
        # gzip_types text/plain text/css application/json application/javascript text/xml application/$

        ##
        # Virtual Host Configs
        ##

        include /etc/nginx/conf.d/*.conf;
        include /etc/nginx/sites-enabled/*;
}
</code></pre>
","<nginx><ssl>","2016-10-19 15:03:18"
"810021","Use SSH to copy remote files to local NAS drive","<p>I'm looking to create a script that logs into a machine and pulls back files to a NAS server. The files will be put into a compressed file as it downloads.</p>

<p>Because the script will be looking to download files with varying owners and permissions, it will need to run as root to make sure it captures everything in the home directory. </p>

<p>I have edited my visudo file to allow the backup user to sudo tar without a password. But there is something stopping the command from running successfully:</p>

<pre><code>backup ALL=NOPASSWD: /usr/tar
</code></pre>

<p>Command ran from the NAS:</p>

<pre><code>ssh -t backup@192.168.1.4 ""sudo tar -zcf - /home/"" &gt; /var/backup/server1.tar.gz
</code></pre>

<p>Any help would be great, thanks</p>

<p>Update: It would of been good to know why I was down voted for this question.</p>
","<backup><sudo><tar>","2016-10-19 15:57:51"
"810036","bash script to detect when a file is added to folder and command exec","<p>I am trying to write a script to detect whenever a file is added to a specific folder and run a command using the last file added name. What I am specifically trying to do is to create a QR code for each file I add in a specific folder.</p>

<p>So what I would need to do is: detect when a file is added to folder, grab base filename and pass to <code>qrencode -o filename.png mysite/filename.ext</code>,
and ideally, have it a cronjob that starts at boot.</p>

<p>I was reading something about using <code>inotify</code>, but I'm not sure how to make this happen.</p>
","<bash><unix><scripting><shell-scripting><unix-shell>","2016-10-19 17:17:39"
"810374","How to protect this kind of fake email","<p>I received an email from a supplier that was hacked.</p>

<p>Customer domain is (header.from = dhavalgroup.com), but the email was sent from (smtp.mailfrom = deltaexports.us).</p>

<p>How to protect this kind of fake email?</p>

<pre><code>Authentication-Results: spf = none (IP sender is 173,201,192,164)
smtp.mailfrom = deltaexports.us; mydomain.com.br; dkim = none (message not
signed) header.d = none; mydomain.com.br; DMARC = none action = none
header.from = dhavalgroup.com; mydomain.com.br; dkim = none (message not
signed) header.d = none;
Received-SPF: None (protection.outlook.com: deltaexports.us does not designate
permitted sender hosts)
Received: from p3plwbeout13-02.prod.phx3.secureserver.net (173,201,192,164) by
BN1BFFO11FD048.mail.protection.outlook.com (10.58.145.3) with Microsoft SMTP
Server (version = TLS1_2, cipher = TLS_RSA_WITH_AES_256_CBC_SHA) id 15.1.669.7
Frontend via Transport; Mon, 17 Oct 2016 08:56:30 +0000
Received: from localhost ([173,201,192,136])
              by p3plwbeout13-02.prod.phx3.secureserver.net with bizsmtp
              id wYwV1t0012x1vXx01YwVbq; Mon, 17 Oct 2016 01:56:29 -0700
</code></pre>

<p>Thank you.</p>
","<spam>","2016-10-21 01:54:05"
"810442","SaltStack: create ssh keypair and add it to authorized_keys","<h1>Goal</h1>

<p>For testing, we want this to work: <code>ssh $USER@localhost</code>.</p>

<ol>
<li>create rsa keypair in ~/.ssh/, if not already there</li>
<li>add .ssh/id_rsa.pub to .ssh/authorized_keys, if not already in this file. </li>
</ol>

<h1>Question</h1>

<p>How to do this with salt-stack?</p>
","<ssh-keys><saltstack>","2016-10-21 11:07:48"
"879576","How Skype to Skype For Business Communication, is configured?","<p>Our office emails hosted on Office-365 / Skype For Business for instant messaging.</p>

<p>Our vendors do not have Skype for business accounts.
What configuration needs to be done on Exchange? We need to connect with them using </p>

<blockquote>
  <p>From Skype For Business ==> to Skype Personal.</p>
</blockquote>
","<lync><skype><skype-for-business-2016>","2017-10-21 05:55:19"
"879632","Add repository to SLES 12.3 google cloud instance","<p>I've created SLES 12.3 SP3 google cloud instance, but it has no repositories available. When I run <code>zypper install ...</code> I get </p>

<blockquote>
  <p>Warning: No repositories defined. Operating only with the installed resolvables. Nothing can be installed.</p>
</blockquote>

<p>Should I choose openSUSE 12.3 repositories instead?</p>
","<google-cloud-platform><sles>","2017-10-21 18:51:06"
"810720","What's the different of moving /var into a new partition between standard way and links?","<p>I want to move <code>/var</code> into <code>/mnt/var</code> since <code>/mnt</code> is mount as a new big partition <code>/dev/xvdb1</code>.</p>

<pre><code>[root@stepping-stone ~]$ df -h
Filesystem      Size  Used Avail Use% Mounted on
/dev/xvda1       20G  7.1G   12G  38% /
tmpfs           7.8G   16K  7.8G   1% /dev/shm
/dev/xvdb1       99G   23G   71G  25% /mnt
</code></pre>

<p>I did that by the following commands:</p>

<pre><code>mv /var/ /mnt/
ln -fs /mnt/var/ /var
</code></pre>

<p>Then I found it seems there is standard way to do that: <a href=""https://serverfault.com/a/703607"">https://serverfault.com/a/703607</a></p>

<p>I don't see the side effects of my 'easy way'. Anyone who can help point the difference between those two methods? or maybe I missed sth?</p>
","<centos><partition><var>","2016-10-23 03:54:34"
"810733","AWS EC2 command not found","<p>Created a new EC2 Instance with Centos 7, first thing i typed yum update, it says yum: command not found</p>

<pre><code># cat /etc/*-release
CentOS Linux release 7.0.1406 (Core)
NAME=""CentOS Linux""
VERSION=""7 (Core)""
ID=""centos""
ID_LIKE=""rhel fedora""
VERSION_ID=""7""
PRETTY_NAME=""CentOS Linux 7 (Core)""
ANSI_COLOR=""0;31""
CPE_NAME=""cpe:/o:centos:centos:7""
HOME_URL=""https://www.centos.org/""
BUG_REPORT_URL=""https://bugs.centos.org/""

CentOS Linux release 7.0.1406 (Core)
CentOS Linux release 7.0.1406 (Core)


# whereis yum
yum: /etc/yum /usr/etc/yum
</code></pre>

<p>Tried almost everything I could find on internet. Any solutions?</p>
","<linux><amazon-ec2><amazon-web-services><centos7>","2016-10-23 08:46:01"
"810758","installing gtk-sharp2 on Centos7","<p>I'm trying to instal (on centOS 7) this package but I got this error below ( I admit that I'm a novice with yum as well):</p>

<pre><code>sudo yum install gtk-sharp2

Loaded plugins: fastestmirror, langpacks, priorities, protectbase

Loading mirror speeds from cached hostfile
 * base: mirror.jgotteswinter.com
 * elrepo: ftp.nluug.nl
 * epel: mirror.netcologne.de
 * extras: centos.copahost.com
 * nux-dextop: mirror.li.nux.ro
 * updates: mirror.rackspeed.de

0 packages excluded due to repository protections
Resolving Dependencies
--&gt; Running transaction check
---&gt; Package gtk-sharp2.x86_64 0:2.12.11-12.el7 will be updated
--&gt; Processing Dependency: gtk-sharp2 = 2.12.11-12.el7 for package: gtk-sharp2-devel-2.12.11-12.el7.x86_64
--&gt; Processing Dependency: mono(glib-sharp) = 2.12.0.0 for package: gtk-sharp2-2.12.26-0.x86_64
---&gt; Package gtk-sharp2.x86_64 0:2.12.26-0 will be an update
--&gt; Running transaction check
---&gt; Package glib-sharp2.x86_64 0:2.12.26-0 will be installed
---&gt; Package gtk-sharp2.x86_64 0:2.12.11-12.el7 will be updated
--&gt; Processing Dependency: gtk-sharp2 = 2.12.11-12.el7 for package: gtk-sharp2-devel-2.12.11-12.el7.x86_64
--&gt; Finished Dependency Resolution

Error: Package: gtk-sharp2-devel-2.12.11-12.el7.x86_64 (@epel)
           Requires: gtk-sharp2 = 2.12.11-12.el7
           Removing: gtk-sharp2-2.12.11-12.el7.x86_64 (@epel)
               gtk-sharp2 = 2.12.11-12.el7
           Updated By: gtk-sharp2-2.12.26-0.x86_64 (download.mono-project.com_repo_centos_)
               gtk-sharp2 = 2.12.26-0
           Available: gtk-sharp2-2.12.11-7.el7.nux.x86_64 (nux-dextop)
               gtk-sharp2 = 2.12.11-7.el7.nux  You could try using --skip-broken to work around the problem  You could try running: rpm -Va --nofiles --nodigest
</code></pre>

<p>Does anybody have an idea how can I fix yum to work it out?</p>

<p>Kind regards.</p>

<hr>

<p>still problems. Launching yum distro-sync:</p>

<pre><code>    Error: Package: mono-complete-4.6.1.5-0.xamarin.1.x86_64 (@download.mono-project.com_repo_centos_)
           Requires: mono-data = 4.6.1.5
           Removing: mono-data-4.6.1.5-0.xamarin.1.x86_64 (@download.mono-project.com_repo_centos_)
               mono-data = 4.6.1.5-0.xamarin.1
           Downgraded By: mono-data-2.10.8-9.el7.x86_64 (epel)
               mono-data = 2.10.8-9.el7
Error: Package: mono-complete-4.6.1.5-0.xamarin.1.x86_64 (@download.mono-project.com_repo_centos_)
           Requires: mono-data-sqlite = 4.6.1.5
           Removing: mono-data-sqlite-4.6.1.5-0.xamarin.1.x86_64 (@download.mono-project.com_repo_centos_)
               mono-data-sqlite = 4.6.1.5-0.xamarin.1
           Downgraded By: mono-data-sqlite-2.10.8-9.el7.x86_64 (epel)
               mono-data-sqlite = 2.10.8-9.el7
 You could try using --skip-broken to work around the problem
 You could try running: rpm -Va --nofiles --nodigest
</code></pre>

<p>Something is still going wrong....I got even more than these above errors</p>
","<yum><gtk>","2016-10-23 12:41:32"
